freq,indic_ur,cities\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE1001V,DE115C	110681 	111357 	112452 	114310 	115006 	115762 	115966 	115865 	116031 	: 
A,DE1001V,DE116C	118358 	119808 	121519 	124171 	125403 	126526 	127748 	128497 	128223 	: 
A,DE1001V,DE117C	99913 	99595 	99491 	99687 	100416 	101036 	100219 	99678 	98693 	: 
A,DE1001V,DE118C	99261 	99403 	100325 	102355 	101863 	102337 	102836 	102770 	101943 	: 
A,DE1001V,DE119C	109138 	109425 	109697 	111366 	111341 	111627 	111966 	111846 	111636 	: 
A,DE1001V,DE120C	102487 	99979 	99979 	101667 	101687 	101744 	101990 	101693 	101055 	: 
A,DE1001V,DE121C	96136 	95629 	95907 	96700 	96781 	96565 	96563 	96459 	95876 	: 
A,DE1001V,DE122C	92227 	91564 	91066 	91123 	90515 	90192 	89540 	88690 	87516 	: 
A,DE1001V,DE123C	105412 	105624 	106423 	108336 	110238 	110998 	111962 	112528 	112385 	: 
A,DE1001V,DE124C	342885 	343488 	345425 	350046 	352390 	353590 	354382 	355100 	355004 	: 
A,DE1001V,DE125C	106915 	107679 	108207 	109527 	110321 	111099 	111407 	111343 	110731 	: 
A,DE1001V,DE126C	: 	: 	: 	90244 	90066 	90502 	90733 	91216 	91272 	: 
A,DE1001V,DE127C	: 	: 	: 	71443 	71350 	71036 	71099 	71113 	71061 	: 
A,DE1001V,DK	5602628 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,DK001C	559440 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,DK002C	319094 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,DK003C	193370 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,DK004C	203448 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,EE	1320174 	1315819 	1313271 	1315944 b	1315635 	1319133 	: 	: 	: 	: 
A,DE1001V,EE001C	406059 	411063 	413782 	423420 b	426538 	430805 	434562 	438341 	438341 	: 
A,DE1001V,EE002C	99518 	98449 	97332 	93687 b	93124 	96506 b	96974 	95430 	95430 	: 
A,DE1001V,EE003C	59888 	59049 	58375 	58204 b	57130 	56103 	55249 	53424 	53424 	: 
A,DE1001V,EL001C	2622404 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE1001V,ES	47129783 	46771341 	46449565 	46445828 	46527039 	46658447 	: 	: 	: 	: 
A,DE1001V,ES001C	3207247 	3165235 	4852911 	4878277 	4904291 	4955432 	5012504 	5098717 	: 	: 
A,DE1001V,ES002C	3190951 	3176357 	3610906 	3624554 	3648483 	3665687 	3701270 	3755512 	: 	: 
A,DE1001V,ES003C	: 	: 	1383908 	1388368 	1386992 	1393606 	1403247 	1417464 	: 	: 
A,DE1001V,ES004C	: 	: 	881439 	879806 	879624 	879870 	880726 	884899 	: 	: 
A,DE1001V,ES005C	682004 	666058 	664953 	661108 	664938 	666880 	674997 	681877 	: 	: 
A,DE1001V,ES006C	568479 	566913 	569130 	569009 	569002 	571026 	574654 	578460 	: 	: 
A,DE1001V,ES007C	438246 	439712 	439889 	441003 	443243 	447182 	453258 	459403 	: 	: 
A,DE1001V,ES008C	383050 	382283 	379766 	378998 	377650 	378517 	379925 	381223 	: 	: 
A,DE1001V,ES009C	309714 	306830 	303905 	301876 	299715 	298866 	298412 	299265 	: 	: 
A,DE1001V,ES010C	398162 	399093 	400578 	402949 	406492 	409661 	416065 	422587 	: 	: 
A,DE1001V,ES011C	96041 	95800 	95612 	95966 	96456 	96405 	97260 	97848 	: 	: 
A,DE1001V,ES012C	241386 	242082 	243918 	244634 	246976 	249176 	251774 	253996 	: 	: 
A,DE1001V,ES013C	225089 	223765 	221870 	220567 	220301 	220020 	219686 	219910 	: 	: 
A,DE1001V,ES014C	: 	: 	319405 	320318 	322739 	326136 	330281 	334398 	: 	: 
A,DE1001V,ES015C	177123 	175736 	173957 	172656 	171951 	172044 	172539 	173375 	: 	: 
